Percent Target,Sales Target,Sales Amt,Commission Rate,Commission Amt
0.89,2000000,1780000.0,0.02,35600.0
1.09,2000000,2180000.0,0.04,87200.0
1.11,500000,555000.0,0.04,22200.0
1.02,500000,510000.0,0.04,20400.0
1.2,1000000,1200000.0,0.04,48000.0
1.05,2000000,2100000.0,0.04,84000.0
0.94,500000,470000.0,0.03,14100.0
0.98,2000000,1960000.0,0.03,58800.0
0.99,2000000,1980000.0,0.03,59400.0
0.78,2000000,1560000.0,0.02,31200.0
0.94,2000000,1880000.0,0.03,56400.0
0.9,1000000,900000.0,0.02,18000.0
0.95,1000000,950000.0,0.03,28500.0
1.01,1000000,1010000.0,0.04,40400.0
0.93,2000000,1860000.0,0.03,55800.0
0.88,500000,440000.0,0.02,8800.0
0.93,1000000,930000.0,0.03,27900.0
0.93,500000,465000.0,0.03,13950.0
1.12,1000000,1120000.0,0.04,44800.0
1.13,2000000,2260000.0,0.04,90400.0
1.05,500000,525000.0,0.04,21000.0
0.98,1000000,980000.0,0.03,29400.0
0.91,2000000,1820000.0,0.03,54600.0
1.01,2000000,2020000.0,0.04,80800.0
1.05,500000,525000.0,0.04,21000.0
0.96,1000000,960000.0,0.03,28800.0
1.07,1000000,1070000.0,0.04,42800.0
0.88,1000000,880000.0,0.02,17600.0
1.2,500000,600000.0,0.04,24000.0
1.04,500000,520000.0,0.04,20800.0
1.11,500000,555000.0,0.04,22200.0
1.04,1000000,1040000.0,0.04,41600.0
1.04,2000000,2080000.0,0.04,83200.0
1.13,500000,565000.0,0.04,22600.0
0.91,1000000,910000.0,0.03,27300.0
1.19,500000,595000.0,0.04,23800.0
1.03,500000,515000.0,0.04,20600.0
0.99,500000,495000.0,0.03,14850.0
0.88,1000000,880000.0,0.02,17600.0
0.72,500000,360000.0,0.02,7200.0
1.12,2000000,2240000.0,0.04,89600.0
1.09,1000000,1090000.0,0.04,43600.0
0.9,1000000,900000.0,0.02,18000.0
1.1,2000000,2200000.0,0.04,88000.0
1.05,2000000,2100000.0,0.04,84000.0
0.89,500000,445000.0,0.02,8900.0
1.03,1000000,1030000.0,0.04,41200.0
0.89,1000000,890000.0,0.02,17800.0
1.0,2000000,2000000.0,0.04,80000.0
1.07,2000000,2140000.0,0.04,85600.0
0.89,1000000,890000.0,0.02,17800.0
1.16,2000000,2320000.0,0.04,92800.0
1.0,1000000,1000000.0,0.04,40000.0
1.11,2000000,2220000.0,0.04,88800.0
1.04,1000000,1040000.0,0.04,41600.0
1.11,500000,555000.0,0.04,22200.0
1.02,1000000,1020000.0,0.04,40800.0
1.04,1000000,1040000.0,0.04,41600.0
1.05,2000000,2100000.0,0.04,84000.0
1.17,1000000,1170000.0,0.04,46800.0
1.17,1000000,1170000.0,0.04,46800.0
1.04,1000000,1040000.0,0.04,41600.0
0.96,500000,480000.0,0.03,14400.0
0.91,2000000,1820000.0,0.03,54600.0
0.98,1000000,980000.0,0.03,29400.0
1.09,1000000,1090000.0,0.04,43600.0
0.99,500000,495000.0,0.03,14850.0
0.92,1000000,920000.0,0.03,27600.0
0.98,2000000,1960000.0,0.03,58800.0
0.99,1000000,990000.0,0.03,29700.0
1.0,1000000,1000000.0,0.04,40000.0
0.98,500000,490000.0,0.03,14700.0
1.07,500000,535000.0,0.04,21400.0
1.11,500000,555000.0,0.04,22200.0
1.2,2000000,2400000.0,0.04,96000.0
0.81,500000,405000.0,0.02,8100.0
0.94,1000000,940000.0,0.03,28200.0
1.09,1000000,1090000.0,0.04,43600.0
0.9,500000,450000.0,0.02,9000.0
0.89,2000000,1780000.0,0.02,35600.0
1.23,1000000,1230000.0,0.04,49200.0
1.11,1000000,1110000.0,0.04,44400.0
1.15,500000,575000.0,0.04,23000.0
1.04,1000000,1040000.0,0.04,41600.0
0.84,1000000,840000.0,0.02,16800.0
1.03,500000,515000.0,0.04,20600.0
0.96,500000,480000.0,0.03,14400.0
0.97,1000000,970000.0,0.03,29100.0
0.96,1000000,960000.0,0.03,28800.0
0.87,1000000,870000.0,0.02,17400.0
1.12,1000000,1120000.0,0.04,44800.0
0.83,500000,415000.0,0.02,8300.0
1.06,500000,530000.0,0.04,21200.0
1.03,500000,515000.0,0.04,20600.0
0.94,500000,470000.0,0.03,14100.0
0.94,500000,470000.0,0.03,14100.0
1.02,1000000,1020000.0,0.04,40800.0
1.14,2000000,2280000.0,0.04,91200.0
0.99,1000000,990000.0,0.03,29700.0
0.92,500000,460000.0,0.03,13800.0
